FTT_1088c contig2_BASYS00018
FTT_1556c contig5_BASYS00028
FTT_1506 contig3_BASYS00239
FTT_1507 contig3_BASYS00238
FTT_1512c contig3_BASYS00230
FTT_1511 contig3_BASYS00232
FTT_1509c contig3_BASYS00235
FTT_1510c contig3_BASYS00234
FTT_1508c contig3_BASYS00236
FTT_0106c contig3_BASYS00127
FTT_1068c contig3_BASYS00126
FTT_0105c contig3_BASYS00121
FTT_0036 contig3_BASYS00051
FTT_0035 contig3_BASYS00050
FTT_0038 contig3_BASYS00053
FTT_0037 contig3_BASYS00052
FTT_0040 contig3_BASYS00055
FTT_0039 contig3_BASYS00054
FTT_0042 contig3_BASYS00057
FTT_0041 contig3_BASYS00056
FTT_0044 contig3_BASYS00059
FTT_0043 contig3_BASYS00058
FTT_1555c contig5_BASYS00029
FTT_0925 contig1_BASYS00358
FTT_0926 contig1_BASYS00359
FTT_0923 contig1_BASYS00355
FTT_0924 contig1_BASYS00357
FTT_0750 contig1_BASYS00350
FTT_0922 contig1_BASYS00352
FTT_1093c contig2_BASYS00026
FTT_1091 contig2_BASYS00023
FTT_1094c contig2_BASYS00028
FTT_0798 contig1_BASYS00136
FTT_0800 contig1_BASYS00137
FTT_0801c contig1_BASYS00138
FTT_0802 contig1_BASYS00139
FTT_0270 contig1_BASYS00646
FTT_0271 contig1_BASYS00647
FTT_0268 contig1_BASYS00644
FTT_0269 contig1_BASYS00645
FTT_1109 contig1_BASYS00005
FTT_1285c contig1_BASYS00006
FTT_1365c contig6_BASYS00041
FTT_1288 contig1_BASYS00002
FTT_1287 contig1_BASYS00003
FTT_1283 contig1_BASYS00008
FTT_1282 contig1_BASYS00009
FTT_0774 contig2_BASYS00113
FTT_0762c contig2_BASYS00116
FTT_0764 contig2_BASYS00114
FTT_1148c contig2_BASYS00237
FTT_1147c contig2_BASYS00235
FTT_1145 contig2_BASYS00232
FTT_0856c contig1_BASYS00916
FTT_0857c contig1_BASYS00917
FTT_0853 contig1_BASYS00914
FTT_0851 contig1_BASYS00913
FTT_0847 contig1_BASYS00910
FTT_0858 contig1_BASYS00918
FTT_0859c contig1_BASYS00919
FTT_1312c contig2_BASYS00348
FTT_1313c contig2_BASYS00349
FTT_0766 contig2_BASYS00342
FTT_1310c contig2_BASYS00343
FTT_0768c contig2_BASYS00340
FTT_0767c contig2_BASYS00341
FTT_1311 contig2_BASYS00346
FTT_1640c contig1_BASYS00822
FTT_0365 contig1_BASYS00820
FTT_1637c contig1_BASYS00826
FTT_1639c contig1_BASYS00824
FTT_1638 contig1_BASYS00825
FTT_0446 contig4_BASYS00099
FTT_0453c contig4_BASYS00090
FTT_0452 contig4_BASYS00091
FTT_0451 contig4_BASYS00092
FTT_0450 contig4_BASYS00093
FTT_0449 contig4_BASYS00094
FTT_0448c contig4_BASYS00095
FTT_0447c contig4_BASYS00096
FTT_0359 contig3_BASYS00208
FTT_0361c contig3_BASYS00204
FTT_0360 contig3_BASYS00207
FTT_1695 contig3_BASYS00202
FTT_1696 contig3_BASYS00203
FTT_0091c contig3_BASYS00110
FTT_0093 contig3_BASYS00113
FTT_0094c contig3_BASYS00115
FTT_0095 contig3_BASYS00117
FTT_0104c contig3_BASYS00118
FTT_1451c contig5_BASYS00082
FTT_1450c contig5_BASYS00085
